robot_name,suite,task,episode_id,num_waypoints,ik_success_rate,trajectory_success,mean_position_error,max_position_error,mean_joint_margin,min_joint_margin,mean_manipulability,min_manipulability,manipulability_below_threshold,smoothness_cost,collision_proxy,hardware_cost
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_0,80,1.0,1,0.000226,0.001833,1.70193,1.044152,0.0747057,0.06625718,0.0,0.00087165,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_1,80,1.0,1,0.000284,0.001919,1.832913,1.027352,0.06272656,0.03948419,0.0,0.00122797,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_10,80,1.0,1,0.000244,0.00199,1.76421,1.024625,0.06962194,0.04613532,0.0,0.00108743,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_11,80,1.0,1,0.000247,0.001954,1.776086,1.072449,0.06564459,0.03017955,0.0,0.00104787,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_12,80,1.0,1,0.000245,0.001731,1.813842,1.037703,0.06653404,0.04094435,0.0,0.00087884,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_13,80,1.0,1,0.000332,0.001975,1.709536,1.050007,0.07033006,0.05059142,0.0,0.00089287,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_14,80,1.0,1,0.000415,0.001911,1.893154,1.043981,0.05921629,0.01416316,0.0,0.00223583,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_15,80,0.9,0,0.001634,0.01798,1.827996,1.039984,0.05730809,6.9e-07,0.0625,0.00475087,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_16,80,1.0,1,0.000352,0.001904,1.885343,1.052274,0.06373109,0.04254102,0.0,0.00242189,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_17,80,1.0,1,0.00032,0.001856,1.834109,1.013234,0.06377899,0.04260473,0.0,0.00201114,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_18,80,0.9,0,0.000715,0.006415,1.848021,1.043512,0.05433359,0.0,0.1125,0.00144854,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_19,80,1.0,1,0.00024,0.001988,1.695037,1.058145,0.06928641,0.04192396,0.0,0.00097927,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_2,80,0.975,0,0.000497,0.003582,1.985414,1.051716,0.06469903,3.9e-07,0.0375,0.00430794,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_20,80,1.0,1,0.000201,0.001994,1.795794,1.069245,0.06971921,0.04789684,0.0,0.00083459,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_21,80,1.0,1,0.000183,0.001194,1.760205,1.025105,0.06730482,0.04052334,0.0,0.00102743,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_22,80,1.0,1,0.000241,0.001602,1.774291,1.038509,0.0654446,0.03476436,0.0,0.00150528,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_23,80,1.0,1,0.000289,0.001332,1.823124,1.024748,0.06001696,0.02650088,0.0,0.00177455,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_24,80,0.75,0,0.004586,0.023333,1.972749,1.042682,0.04206822,5.1e-07,0.2125,0.00352568,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_25,80,0.8875,0,0.002143,0.024687,1.972956,1.039133,0.06066538,2.5e-07,0.025,0.00426973,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_26,80,1.0,1,0.000274,0.001612,1.764825,1.051474,0.06457102,0.03382797,0.0,0.00131865,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_27,80,1.0,1,0.000523,0.001762,1.92673,1.022296,0.0477751,0.00877773,0.0,0.00279193,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_28,80,1.0,1,0.000462,0.00179,1.855781,1.0249,0.0582841,0.01138825,0.0,0.00278721,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_29,80,1.0,1,0.00018,0.001529,1.791254,1.039331,0.0672241,0.04715144,0.0,0.00095309,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_3,80,0.825,0,0.002868,0.01941,1.8558,1.063255,0.05405387,0.00077811,0.1125,0.00422336,0.0,1.08
simple_default,libero_goal,open_the_middle_drawer_of_the_cabinet_demo,demo_30,80,1.0,1,0.00027,0.001959,1.873657,1.044303,0.05965222,0.02234456,0.0,0.00130993,0.0,1.08
